pais_id,año,basura_id,cantidad
in,2021,b3,63
id,2021,b3,646
ir,2021,b3,0
ie,2021,b3,2
il,2021,b3,132
it,2021,b3,322
jm,2021,b3,133
jp,2021,b3,3
kz,2021,b3,2
ke,2021,b3,10
mg,2021,b3,0
my,2021,b3,9
Mauritius,2021,b3,601
mx,2021,b3,279
mn,2021,b3,0
mz,2021,b3,359
np,2021,b3,2
nl,2021,b3,267
nz,2021,b3,0
ni,2021,b3,7
ng,2021,b3,956
Northern Mariana Islands,2021,b3,566
no,2021,b3,4
pk,2021,b3,24
pa,2021,b3,12
pe,2021,b3,2
ph,2021,b3,6
pl,2021,b3,4
pt,2021,b3,194
pr,2021,b3,27
ro,2021,b3,2
ru,2021,b3,15
ws,2021,b3,1
sa,2021,b3,0
sn,2021,b3,73
sc,2021,b3,377
sl,2021,b3,0
sg,2021,b3,706
Sint Maarten,2021,b3,1
si,2021,b3,77
za,2021,b3,1
kr,2021,b3,4
es,2021,b3,2
lk,2021,b3,114
St Kitts & Nevis,2021,b3,95
St Lucia,2021,b3,672
se,2021,b3,0
ch,2021,b3,0
tw,2021,b3,23
tz,2021,b3,7
th,2021,b3,43
The Bahamas,2021,b3,1
Tonga,2021,b3,0
tt,2021,b3,13
tr,2021,b3,99
U.S. Virgin Islands,2021,b3,1
ua,2021,b3,5
ae,2021,b3,3
gb,2021,b3,2
Channel Islands,2021,b3,0
England,2021,b3,1
Northern Ireland,2021,b3,126
Scotland,2021,b3,1
Whales,2021,b3,202
us,2021,b3,126
uy,2021,b3,1
vu,2021,b3,846
ve,2021,b3,7
vn,2021,b3,2
Wallis and Futuna,2021,b3,6
Location Not Recorded,2021,b3,32
ax,2020,b3,0
ag,2020,b3,1
ar,2020,b3,0
Aruba,2020,b3,0
au,2020,b3,1
at,2020,b3,0
bd,2020,b3,1
bb,2020,b3,2
bz,2020,b3,58
Bermuda,2020,b3,1
Bonaire,2020,b3,3
br,2020,b3,281
vg,2020,b3,170
bn,2020,b3,2
bi,2020,b3,0
cm,2020,b3,1
ca,2020,b3,6
ky,2020,b3,15
cl,2020,b3,10
cn,2020,b3,3
co,2020,b3,4
cr,2020,b3,0
hr,2020,b3,10
cy,2020,b3,87
dk,2020,b3,0
do,2020,b3,289
eg,2020,b3,0
ee,2020,b3,0
fi,2020,b3,0
fr,2020,b3,1
de,2020,b3,26
gh,2020,b3,170
gr,2020,b3,175
gd,2020,b3,4
Guam,2020,b3,129
gt,2020,b3,247
gy,2020,b3,3
hk,2020,b3,489
in,2020,b3,64
id,2020,b3,4
ie,2020,b3,199
il,2020,b3,432
it,2020,b3,1
jm,2020,b3,16
jp,2020,b3,4
ke,2020,b3,33
kw,2020,b3,9
Macao,2020,b3,45
mw,2020,b3,104
my,2020,b3,30
Maldives,2020,b3,0
Mauritius,2020,b3,6
mx,2020,b3,5
Montserrat,2020,b3,394
ma,2020,b3,0
mz,2020,b3,820
nl,2020,b3,48
nz,2020,b3,7
ni,2020,b3,9
ng,2020,b3,588
Northern Mariana Islands,2020,b3,786
no,2020,b3,4
om,2020,b3,0
pa,2020,b3,0
pe,2020,b3,241
ph,2020,b3,56
pl,2020,b3,0
pt,2020,b3,410
pr,2020,b3,8
ru,2020,b3,0
sa,2020,b3,8
sn,2020,b3,517
sc,2020,b3,97
sl,2020,b3,150
sg,2020,b3,62
Sint Eustatius,2020,b3,0
Sint Maarten,2020,b3,142
za,2020,b3,9
kr,2020,b3,3
es,2020,b3,1
lk,2020,b3,27
St Kitts & Nevis,2020,b3,2
St Lucia,2020,b3,0
sr,2020,b3,260
se,2020,b3,360
tw,2020,b3,27
tz,2020,b3,2
th,2020,b3,11
The Bahamas,2020,b3,311
tt,2020,b3,2
tr,2020,b3,257
Turks and Caicos Islands,2020,b3,0
U.S. Virgin Islands,2020,b3,516
ua,2020,b3,6
ae,2020,b3,822
gb,2020,b3,2
Channel Islands,2020,b3,9
England,2020,b3,1
Northern Ireland,2020,b3,238
Scotland,2020,b3,594
Wales,2020,b3,104
us,2020,b3,87
uy,2020,b3,3
vu,2020,b3,657
ve,2020,b3,14
vn,2020,b3,340
Location Not Recorded,2020,b3,49
ax,2023,b10,0
ag,2023,b10,0
ar,2023,b10,33
au,2023,b10,629
at,2023,b10,0
bs,2023,b10,1
bd,2023,b10,214
bb,2023,b10,4
be,2023,b10,0
bz,2023,b10,7
Bermuda,2023,b10,4
Bonaire,2023,b10,6
bw,2023,b10,0
br,2023,b10,1
vg,2023,b10,35
bn,2023,b10,542
kh,2023,b10,514
cm,2023,b10,0
ca,2023,b10,13
ky,2023,b10,59
cl,2023,b10,6
cn,2023,b10,568
co,2023,b10,1
cr,2023,b10,273
hr,2023,b10,0
cu,2023,b10,0
cy,2023,b10,109
cz,2023,b10,0
dk,2023,b10,2
do,2023,b10,170
ec,2023,b10,19
eg,2023,b10,1
fj,2023,b10,0
fi,2023,b10,0
fr,2023,b10,32
pf,2023,b10,42
gm,2023,b10,0
de,2023,b10,160
gh,2023,b10,9
gr,2023,b10,6
gd,2023,b10,0
Guam,2023,b10,1
gt,2023,b10,12
gy,2023,b10,207
hn,2023,b10,46
hk,2023,b10,279
hu,2023,b10,0
in,2023,b10,133
id,2023,b10,4
ie,2023,b10,3
il,2023,b10,24
it,2023,b10,1
jm,2023,b10,122
jp,2023,b10,6
jo,2023,b10,6
ke,2023,b10,10
ki,2023,b10,0
kw,2023,b10,0
lv,2023,b10,2
lt,2023,b10,20
mw,2023,b10,2
my,2023,b10,20
Maldives,2023,b10,0
Malta,2023,b10,15
mx,2023,b10,8
me,2023,b10,0
ma,2023,b10,301
mz,2023,b10,267
Myanmar (Burma),2023,b10,0
np,2023,b10,1
nl,2023,b10,11
nz,2023,b10,2
ni,2023,b10,935
ng,2023,b10,752
