País;Año;Voluntarios;Kilogramos;Kilómetros;Elementos recogidos;b9;b3;b10;b11;b12;b13;b14;b15;b1;b2;b16;b17
Saudi Arabia;2023;16;332,0;0,8;669;60;21;92;2;18;33;8;;;;2;3
Seychelles;2023;323;270,0;118,0;13.148;577;699;765;828;59;104;467;;;;70;135
Sierra Leone;2023;200;12.200,0;10,0;60.000;—;—;—;—;—;—;—;;;;—;
Singapore;2023;1.326;2.664,0;73,1;22.139;1.037;1.884;777;1.742;1.707;2.324;1.547;;;;556;914
Sint Eustatius;2023;26;1.091,0;1,5;4.387;15;166;235;210;16;92;66;;;;24;122
Sint Maarten;2023;142;1.038,0;9,1;6.578;105;2.555;122;144;194;148;286;;;;35;184
Slovenia;2023;136;137,0;9,9;12.159;9.197;44;184;243;127;13;33;;;;242;100
Solomon Islands;2023;183;613,0;0,6;13.222;4;967;206;1.235;;258;7;;;;13;46
South Africa;2023;5.730;60.208,0;26,4;3.145;1.045;133;176;120;40;145;86;;;;21;70
South Korea;2023;2.153;17.710,0;306,1;65.562;7.528;2.817;2.074;3.497;2.036;1.084;938;;;;547;1.124
Spain;2023;1.941;4.802,0;37,5;206.032;109.624;2.941;3.811;4.787;1.398;1.225;1.928;;;;2.392;2.744
Sri Lanka;2023;2.615;11.420,0;59,4;51.260;1.512;6.535;3.543;4.166;2.372;1.798;1.841;;;;1.367;1.966
St Kitts & Nevis;2023;161;696,0;2,3;26;7;1;1;;1;1;;;;;;3
St Lucia;2023;262;1.973,0;2,6;12.561;30;4.482;1.262;465;344;145;58;;;;289;247
St Vincent and the Grenadines;2023;43;208,0;0,4;2.009;;995;190;70;;2;;;;;;143
Sweden;2023;2.167;6.959,0;37,6;11;—;2;—;—;—;1;—;;;;—;
Switzerland;2023;121;116,0;1,2;4.012;2.383;99;86;213;18;39;17;;;;5;52
Taiwan;2023;10.870;24.644,0;59,7;172.009;9.694;36.565;26.336;3.742;8.055;105;12.241;;;;4.572;6.399
Tanzania;2023;5.237;70.397,0;12,8;18.279;272;2.456;1.425;2.465;156;1.882;346;;;;113;263
Thailand;2023;2.592;22.248,0;89,8;928.276;715.875;5.727;15.335;14.390;837;31.807;15.660;;;;2.406;8.901
Tonga;2023;141;215,0;0,2;3.794;2;486;87;376;;379;67;;;;271;50
Trinidad and Tobago;2023;4.492;22.418,0;67,6;198.377;3.564;69.615;13.011;6.757;2.483;4.910;1.633;;;;2.505;7.798
Turkey;2023;230;2.377,0;13,0;1.661;39;282;87;124;226;39;22;;;;3;63
U.S. Virgin Islands;2023;601;4.045,0;45,5;26.544;1.094;1.904;2.278;2.152;360;733;876;;;;264;975
Uganda;2023;731;8.042,0;19,3;2.770;54;549;32;92;221;115;38;;;;83;43
United Arab Emirates;2023;866;4.603,0;134,3;18.324;2.489;2.894;993;871;669;645;287;;;;200;962
United Kingdom;2023;6.523;10.429,0;99,5;87.387;11.480;1.279;2.889;12.594;1.834;2.800;1.171;;;;30;402
United States;2023;134.674;1.084.406,0;15.341,9;2.524.521;385.285;99.687;165.590;172.741;37.890;54.611;61.396;;;;20.820;52.582
Uruguay;2023;13;20,0;0,7;148;;41;16;13;3;18;;;;;4;8
Vanuatu;2023;26;25,0;1,0;2.225;40;168;104;398;59;38;14;;;;56;8
Venezuela;2023;6.703;20.438,0;127,8;387.924;26.580;41.467;35.629;23.900;17.297;11.857;11.929;;;;8.493;23.041
Vietnam;2023;1.194;2.501,0;14,6;21.697;384;1.414;885;673;4.178;205;1.366;;;;1.012;1.651
Wallis and Futuna;2023;46;104,0;0,2;1.190;10;118;116;28;;24;4;;;;16;4
Åland Islands;2022;21;13,0;0,6;—;—;—;—;—;—;—;—;;;;;
Angola;2022;52;2,0;0,2;37;1;3;2;;4;1;;;;;1;0
Antigua and Barbuda;2022;26;657,0;1,1;2.506;15;341;33;44;16;18;18;;;;35;36
Australia;2022;1.716;4.907,0;200,3;103.621;4.833;1.134;1.462;4.841;408;416;866;;;;21;12
Bahamas;2022;669;4.284,0;24,8;27.296;406;2.399;1.410;657;335;736;485;;;;428;541
Bangladesh;2022;605;1.956,0;5,3;220.879;17.147;7.221;6.292;23.815;1.991;2.254;3.061;;;;10.430;171
Barbados;2022;421;9.830,0;7,7;45.929;433;3.173;5.001;1.573;421;1.028;434;;;;327;311
Belize;2022;879;5.083,0;70,3;77.142;931;5.860;5.176;4.790;3.078;2.937;1.518;;;;1.906;1.240
Bermuda;2022;856;8.165,0;37,0;36.146;2.798;1.456;2.012;923;297;412;169;;;;414;186
Bonaire;2022;18;5,0;0,2;3.320;1.230;2;129;7;;7;44;;;;1;0
Brazil;2022;996;4.252,0;29,6;9.288;702;1.931;512;908;384;718;582;;;;671;93
British Virgin Islands;2022;340;930,0;31,7;7.780;10;1.615;596;108;85;181;1.107;;;;120;90
Brunei;2022;91;229,0;5,0;4.226;136;1.581;187;161;172;79;59;;;;359;43
Cameroon;2022;538;229.725,0;14,2;141.010;3.407;21.409;2.653;2.778;1.349;498;1.465;;;;17.742;711
Canada;2022;13.308;9.217,0;1.257,8;471.113;280.873;8.176;13.159;18.287;360;5.910;4.637;;;;2.329;169
Cayman Islands;2022;9;7,0;0,5;54;;3;1;10;2;1;;;;;1;0
Chile;2022;9.727;88.876,0;135,8;186.044;40.825;7.693;6.874;8.062;5.114;3.894;2.176;;;;4.654;1.023
China;2022;5.005;8.860,0;81,2;9.205;4.353;441;198;301;399;102;92;;;;143;69
Colombia;2022;168;1.179,0;5,6;14.203;518;5.923;359;272;409;595;46;;;;379;1
Costa Rica;2022;54;441,0;2,5;1.452;41;64;101;361;27;33;77;;;;19;2
Croatia;2022;52;1.667,0;0,6;1.187;1.059;;;;;3;;;;;0;0
Curaçao;2022;41;74,0;11,5;1.601;;672;533;1;;2;;;;;5;0
Cyprus;2022;147;8.206,0;2,9;321;239;;9;4;1;2;6;;;;1;0
Dominican Republic;2022;22.127;171.897,0;51,5;2.601.265;80.193;240.577;160.384;42.099;40.097;80.193;126.318;;;;601.441;240.576
Ecuador;2022;9.126;54.932,0;366,1;324.211;11.535;23.730;11.044;16.708;12.456;9.959;5.173;;;;15.757;6.453
Egypt;2022;25;325,0;0,2;271;15;14;5;6;4;12;;;;;48;5
Finland;2022;330;299,0;5,3;47.354;27.353;;;;;;;;;;0;0
France;2022;148;927,0;3,7;13.540;7.734;366;209;359;201;841;74;;;;404;129
Gambia;2022;361;36.967,0;8,5;20.029;4;3.991;;;19;1.584;;;;;22;1.254
Germany;2022;540;173,0;6,3;4.545;917;12;46;610;15;72;35;;;;39;21
Ghana;2022;39;26.895,0;2,4;316.502;56.446;34.965;2.997;999;7.962;11.456;999;;;;1.998;999
Greece;2022;6.128;9.423,0;69,0;185.572;50.195;8.869;12.797;3.024;5.089;2.101;9.674;;;;1.598;2.499
Guam;2022;2.442;5.382,0;121,2;29.350;2.788;2.649;1.353;1.419;361;629;247;;;;422;372
