pais_id,año,basura_id,cantidad
ax,2020,b3,0.0
ax,2020,b10,0.0
ax,2020,b11,0.0
ax,2020,b12,0.0
ax,2020,b13,0.0
ax,2020,b14,0.0
ax,2020,b15,0.0
ax,2020,b1,0.0
ax,2020,b2,0.0
ax,2020,b16,0.0
ax,2020,b17,0.0
ax,2022,b9,0.0
ax,2022,b3,0.0
ax,2022,b10,0.0
ax,2022,b11,0.0
ax,2022,b12,0.0
ax,2022,b13,0.0
ax,2022,b14,0.0
ax,2022,b15,0.0
ax,2022,b1,0.0
ax,2022,b2,0.0
ax,2022,b16,0.0
ax,2022,b17,0.0
ax,2023,b9,77.0
ax,2023,b3,0.0
ax,2023,b10,0.0
ax,2023,b11,0.0
ax,2023,b12,0.0
ax,2023,b13,0.0
ax,2023,b14,0.0
ax,2023,b15,0.0
ax,2023,b1,0.0
ax,2023,b2,0.0
ax,2023,b16,0.0
ax,2023,b17,0.0
az,2021,b9,0.0
az,2021,b3,2.0
az,2021,b10,0.0
az,2021,b11,0.0
az,2021,b12,0.0
az,2021,b13,0.0
az,2021,b14,0.0
az,2021,b15,0.0
az,2021,b1,0.0
az,2021,b2,0.0
az,2021,b16,0.0
az,2021,b17,0.0
bb,2020,b9,1328.0
bb,2020,b3,2915.0
bb,2020,b10,6900.0
bb,2020,b11,3004.0
bb,2020,b12,635.0
bb,2020,b13,0.0
bb,2020,b14,821.0
bb,2020,b15,0.0
bb,2020,b1,1298.0
bb,2020,b2,484.0
bb,2020,b16,472.0
bb,2020,b17,0.0
bb,2022,b9,433.0
bb,2022,b3,3173.0
bb,2022,b10,5001.0
bb,2022,b11,1573.0
bb,2022,b12,421.0
bb,2022,b13,1028.0
bb,2022,b14,434.0
bb,2022,b15,0.0
bb,2022,b1,0.0
bb,2022,b2,0.0
bb,2022,b16,327.0
bb,2022,b17,311.0
bb,2023,b9,393.0
bb,2023,b3,3256.0
bb,2023,b10,4836.0
bb,2023,b11,1838.0
bb,2023,b12,319.0
bb,2023,b13,773.0
bb,2023,b14,493.0
bb,2023,b15,0.0
bb,2023,b1,0.0
bb,2023,b2,0.0
bb,2023,b16,450.0
bb,2023,b17,1594.0
bd,2020,b9,5132.0
bd,2020,b3,1170.0
